id_left,title_left,manufacturer_left,price_left,id_right,title_right,manufacturer_right,price_right,guid,label
759,humorous greeting card factory,nova development,29.99,1949,nova development ghw humorous greeting card factory,nova development,29.99,train-759-1949,yes
950,apple logic pro 7.2 upgrade,apple,299.0,531,adobe cs3 web premium upgrade,,517.99,train-950-531,no
1192,mcafee virusscan plus 3 user,mcafee,59.99,574,mcafee inc mcafee virusscan plus sub 1:1 3u mb en,,56.38,train-1192-574,yes
796,ulead videostudio 11,corel,89.99,2181,corel ulead videostudio 11 video editing and dvd authoring software for windows authoring software,,89.95,train-796-2181,yes
438,winway resume deluxe 11.0 network 10,nova development,,2070,resume writer deluxe,,12.9,train-438-2070,no
934,panda antivirus 2007,panda software,29.95,173,sos aggregation company panda antivirus 2007,,23.72,train-934-173,yes
646,instant immersion german audio,topics entertainment,,3009,instant immersion japanese 2.0,,22.43,train-646-3009,no
958,onone plug-in suite 3 for adobe photoshop,onone software,399.95,554,onone software plug-in suite full,,393.68,train-958-554,yes
751,project x project management software,marware,199.95,1167,software,,274.99,train-751-1167,no
1010,roxio easy media creator 9,roxio,99.95,1114,podmediacreator,,29.99,train-1010-1114,no
82,emedia essential bass guitar,emedia,19.95,234,emedia music corp emedia guitar basics,,16.64,train-82-234,no
819,mavis beacon 17 standard,encore software,19.95,2830,mavis beacon teaches typing 17 standard ( pc/mac ) encore,,19.99,train-819-2830,yes
114,quickbooks pos : pro multistore 6.0,intuit inc.,1399.95,1402,quickbooks ( r ),,103.99,train-114-1402,no
524,apple final cut express hd 3.5 ( mac ),apple computer,299.0,994,apple logic express 7.2,,299.99,train-524-994,no
132,upgrade emc retrospect 7.5 multi server windows only,dantz,,2538,emc insignia retrospect server client v. 7.5 complete package,,181.97,train-132-2538,no
42,lavasoft ad-aware plus edition,tri synergy,29.99,2068,lavasoft ad-aware plus edition,,24.9,train-42-2068,yes
591,apple iwork '06 family pack ( mac dvd ) [ older version ],apple,99.0,2200,apple iwork '06 software apple & mac software,,79.0,train-591-2200,no
976,iaudioize magnetic time for pc and mac,sos aggregation,39.99,838,sos aggregation company iaudioize magnetic time,,31.53,train-976-838,yes
532,quickbooks pro 2007 for mac ( mac ),intuit,199.95,2516,intuit quickbooks pro 2007 software for mac finance software,,189.95,train-532-2516,yes
913,starry night galaxy explorer ( pc & mac ),imaginova,9.99,3127,starry night galaxy explorer ( pc & mac ) ( snge-5-c1u ),,9.59,train-913-3127,yes
1357,photostory on cd & dvd 5,magix entertainment,19.99,614,magix entertainment corp. photostory on cd & dvd 5,,17.55,train-1357-614,yes
487,crystal reports 11 reporting essentials trng cbt,business objects,199.99,1525,crystal reports xi professional edition complete package,,537.57,train-487-1525,no
644,microspot macdraft pe ( mac ),microspot ltd.,99.95,330,microspot macdraft pe personal edition,,85.99,train-644-330,yes
626,steinberg halion symphonic orchestra virtual instrument ( academic version ),steinberg,374.99,292,steinberg software halion symphonic orchestra educational edition,,545.51,train-626-292,yes
1299,snap ! spelling ( jewel case ),topics entertainment,19.95,3110,cross stitch design studio ( jewel case ) ( 8006 ),m-and-r-technologies,9.59,train-1299-3110,no
3,peachtree by sage premium accounting for nonprofits 2007,sage software,599.99,1290,peachtree ( r ) compatible continuous checks-accounting for windows 8.0-2004 version,,91.59,train-3-1290,no
287,sibelius 5 professional edition,sibelius-software-ltd .,599.0,2192,sibelius sibelius 4 software music production software,sibelius-software-ltd .,449.95,train-287-2192,no
519,microsoft student with encarta premium 2008 dvd,microsoft,49.95,2423,microsoft student with encarta premium 2008 complete package,,43.6,train-519-2423,yes
29,family tree maker 11.2 collector 's edition,encore,109.95,2002,family tree maker 11 collector 's edition,,34.9,train-29-2002,yes
1347,phonics success essentials : grades 7-9,topics education,19.99,598,topics entertainment phonics success essentials,,17.55,train-1347-598,yes
563,macromedia director 10 mx 2004,adobe,2171.7,1901,38000773 macromedia director mx 2004 complete package 1 user cd win mac univer,,1285.07,train-563-1901,no
597,adobe creative suite cs3 design premium [ mac ],adobe,1799.0,3188,adobe creative suite 3 web standard complete package academic cd mac,,369.0,train-597-3188,no
204,cisco ios enterprise services complete package cd28-esk9 = ),cisco systems enterprise,,1719,cd269-ar1p = cisco ios enterprise/snasw plus complete package cd,,2150.98,train-204-1719,no
394,jumpstart advanced 2nd grade v2 .0,knowledge adventure,19.99,2909,jumpstart advanced 2nd grade ( pc/mac ) knowledge adventure,,19.99,train-394-2909,yes
465,adobe creative suite cs3 web standard upgrade [ mac ],adobe,399.0,71,29270055 adobe creative suite 3 web standard complete package 1 user cd win uni,,1056.98,train-465-71,no
935,corel dvd moviefactory 6.0 plus,corel,79.99,613,corel corporation dvd movie factory 6 plus retial ( english ),,74.08,train-935-613,yes
548,quickbooks pro 2007 small business financial software,intuit,199.95,2302,intuit quickbooks pro 2007 software for windows tax & finance software,,179.95,train-548-2302,yes
243,money premium 2007 win32 eng na mini box us only cd,microsoft,118.46,2863,microsoft money 2007 premium ( pc ),,79.99,train-243-2863,no
1236,pc cakewalk guitar tracks pro 3,cakewalk,149.99,1662,cakewalk 10-cwgp3 .00 -90 c guitar tracks pro 3.0 ( 3 win 00/xp cd ),,68.97,train-1236-1662,no
949,leave the lights on ( mac ),aspyr media,9.99,890,aspyr leave the lights on-bundle,,29.99,train-949-890,yes
616,microsoft windows vista home basic upgrade [ dvd ],microsoft,99.95,3085,windows vista ultimate upgrade,,259.0,train-616-3085,no
1228,learn to play chess with fritz and chesster ( mac ),viva media,29.99,500,viva media llc learn to play chess with fritz & chesster,,26.14,train-1228-500,yes
48,national geographic presents : forces of nature,topics entertainment,29.99,2074,national geographic : forces of nature,,12.9,train-48-2074,yes
554,instant immersion german deluxe 2.0,topics entertainment,39.99,179,topics entertainment instant play guitar deluxe v2 .0,,31.06,train-554-179,no
276,instant immersion 33 languages,topics entertainment,49.99,2996,instant immersion 33 languages,topics entertainment,43.99,train-276-2996,yes
734,middle school success essentials,topics entertainment,29.99,435,topics entertainment middle school success essentials,,17.55,train-734-435,yes
251,microsoft crm small business ed cal 3.0 license pack user cal,microsoft software,9929.0,1828,u84-00101 microsoft windows server 2003 for small business license 5 device cals ope,,303.9,train-251-1828,no
490,microsoft visual studio professional 2005 upgrade,microsoft software,549.0,2803,visual studio pro 2005 upgrade ( pc ) microsoft,,549.0,train-490-2803,yes
445,instant landscaping 3.0 [ lb ],topics entertainment,19.99,3044,instant home cooking,,9.95,train-445-3044,no
591,apple iwork '06 family pack ( mac dvd ) [ older version ],apple,99.0,265,apple iwork '06 family pack,,99.99,train-591-265,yes
43,clip art and more 250 000 ( jewel case ),imsi design,,2066,clipart & more 250000 ( jc ),,9.9,train-43-2066,yes
270,adobe acrobat 7.0 professional,adobe,449.99,2839,adobe flash cs3 professional ( mac ),,699.0,train-270-2839,no
1282,adobe after effects cs3,adobe,999.0,932,adobe contribute cs3,,155.99,train-1282-932,no
115,encyclopedia britannica deluxe 2008 win/mac,avanquest,29.95,889,avanquest usa llc britannica deluxe,,26.11,train-115-889,no
1091,soundtrack 1.2,apple,199.99,1401,apple software m9301z/b soundtrack v1 .2,apple software,199.0,train-1091-1401,yes
1082,pitstop pro 7.0 upgr 5.x or below,enfocus software,299.0,2053,enfocus software pp7.0-ug-001 pitstop pro 7.0 upgr 6.x or higher,,171.97,train-1082-2053,no
654,acrobat professional 8 ( windows ),adobe,273.0,891,microspot macdraft professional edition,,249.99,train-654-891,no
698,morpheus photo animation suite,smith-micro-software-inc .,49.99,414,allume morpheus photo animation suite,smith-micro-software-inc .,41.99,train-698-414,yes
907,hoyle card games ( jewel case ),encore software,9.99,2583,encore software 10027 hoyle board games ( win 98 me 2000 xp ),,7.47,train-907-2583,no
1322,adobe creative suite cs3 design premium upsell,adobe,1599.0,1763,29500244 adobe creative suite 3 design premium product upgrade package 1 user upgra,,1687.48,train-1322-1763,no
751,project x project management software,marware,199.95,1117,software,,736.95,train-751-1117,no
208,wasp bar code wasp bar code labeler complete package 3 users std cd -,wasp technologies,,1725,32179 kid pix deluxe home edition v. 4 complete package 1 user cd win m,,14.51,train-208-1725,no
577,quicken 2007 home & business,intuit,89.95,2773,quicken home and business 2007 ( pc ) intuit,,89.99,train-577-2773,yes
1321,instant immersion american sign language win/mac,topics entertainment,9.99,1666,instant immersion italian audio ( audio book ),,19.95,train-1321-1666,no
1177,microsoft office student and teacher edition 2004 macintosh,microsoft,149.99,2137,microsoft microsoft office 2004 software suite mac education apple & mac software,,148.95,train-1177-2137,yes
923,adobe illustrator cs3 upgrade [ mac ],adobe,199.0,331,adobe indesign cs3 for mac,,725.99,train-923-331,no
587,microsoft word 2007 version upgrade,microsoft,109.95,2847,microsoft office visio standard 2007 ( pc ),,249.95,train-587-2847,no
490,microsoft visual studio professional 2005 upgrade,microsoft software,549.0,998,microsoft word 2004,,209.99,train-490-998,no
