id_left,title_left,manufacturer_left,price_left,title_right,manufacturer_right,price_right,text_src,id_right,text_tgt,candidates,labels
8,mia 's math adventure : just in time,kutoka,19.99,['kutoka interactive 61208 mias math adventure ( just in time ) ( win 95 98 me 2000 xp/mac 8.6-9.x ( classic ) x v10 .1 or higher )'],[nan],[18.97],mia 's math adventure : just in time. kutoka. 19.99,[2328],['kutoka interactive 61208 mias math adventure ( just in time ) ( win 95 98 me 2000 xp/mac 8.6-9.x ( classic ) x v10 .1 or higher ). nan. 18.97'],"[""kutoka interactive 61208 mia 's math adventure : just in time !. kutoka interactive. 24.99"", 'kutoka interactive 61208 mias math adventure ( just in time ) ( win 95 98 me 2000 xp/mac 8.6-9.x ( classic ) x v10 .1 or higher ). nan. 18.97', 'math missions : the amazing arcade adventure ( grades 3-5 ). nan. 12.95', 'cluefinders 3rd grade adventures : mystery of mathra. nan. 10.95', 'math missions : the race to spectacle city arcade ( grades k-2 ). nan. 8.49', 'math success ( tm ) deluxe 2007. nan. 49.99', 'mighty math number heroes. nan. 9.95', 'jumpstart advanced 3rd grade ( pc/mac ) knowledge adventure. nan. 19.99', 'treasure mathstorm. the-learning-company. 9.9', 'cyberchase adventures by brighter minds. brighter-minds-media-inc .. 19.99']","[0, 1, 0, 0, 0, 0, 0, 0, 0, 0]"
10,paper art : gift wrapping,arc-media-inc .,,['paper art volume 2 : gift wrapping'],['arc-media-inc .'],[6.95],paper art : gift wrapping. arc-media-inc .. nan,[1953],['paper art volume 2 : gift wrapping. arc-media-inc .. 6.95'],"['paper art volume 2 : gift wrapping. arc-media-inc .. 6.95', 'art explosion ( r ) greeting card factory ( r ) deluxe 6.0. nan. 49.99', 'hallmark half-fold matte prem . blank greeting cards ( 20 pack ) ( paper ). nan. 10.99', 'business cards certificates brochures. nan. 19.99', 'nova greeting card factory for mac. nan. 41.99', 'print workshop 2006 limited edition + 800000 + images. nan. 7.95', 'the print shop ( r ) 22. nan. 29.99', 'encore inc printshop business card maker. riverdeep-learning-company. 8.01', 'nova development corp humorous greeting card factory. nan. 28.3', 'art explosion ( r ) 800000. nan. 79.99']","[1, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
13,spy sweeper spanish,webroot software,29.95,"['webroot software inc 31250 spy sweeper spanish win 2000 xp', 'webroot software inc 31250 spy sweeper spanish']","[nan, nan]","[25.97, 24.81]",spy sweeper spanish. webroot software. 29.95,"[2264, 1966]","['webroot software inc 31250 spy sweeper spanish win 2000 xp. nan. 25.97', 'webroot software inc 31250 spy sweeper spanish. nan. 24.81']","['webroot spy sweeper spanish edition ( pc ). nan. 29.99', 'webroot software inc 31250 spy sweeper spanish win 2000 xp. nan. 25.97', 'webroot software inc 31250 spy sweeper spanish. nan. 24.81', 'webroot software 65210 spy sweeper 3 pc. webroot software. 31.99', 'webroot software 65210 spy sweeper 3 pc. webroot software. 31.99', 'webroot software 65210 spy sweeper 3 pc. webroot software. 31.99', 'webroot software 65210 spy sweeper 3 pc. webroot software. 31.99', 'webroot ( r ) spy sweeper ( tm ) 2006. nan. 29.99', 'webroot software inc 66410 spy sweeper ( small box ) ( win 98 me 2000 xp ). nan. 25.97', 'webroot software inc 66210 spy sweeper ( mass merchant ) ( win 98 me 2000 xp ). nan. 25.97']","[0, 1, 1, 0, 0, 0, 0, 0, 0, 0]"
15,omnioutliner professional 3.0,csdc,69.95,['omnioutliner professional 3.0 for mac'],[nan],[69.99],omnioutliner professional 3.0. csdc. 69.95,[1970],['omnioutliner professional 3.0 for mac. nan. 69.99'],"['omnioutliner professional 3.0 for mac. nan. 69.99', 'csdc ntx-2003-01r notetaker for os x v1 .5 aquaminds software. csdc. 59.99', 'adobe flash cs3 professional ( mac ). nan. 699.0', 'apple appleworks 6.2.9 ( mac ). nan. 79.99', 'csdc x3mac x3 : reunion virtual programming ltd. mac 10.4 or later ub. csdc. 42.6', 'csdc iremember digital scrapbooking 2.0. nan. 35.99', ""apple iwork '06. nan. 79.99"", 'appleworks 6.2 for mac. nan. 75.99', 'adobe indesign cs3 for mac academic. nan. 192.99', 'csdc namo webeditor suite 2006. nan. 83.92']","[1, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
17,upg sgms 1000 incremental node,sonic-systems-inc .,,['sonicwall gms 1000 upgrade'],[nan],[63074.12],upg sgms 1000 incremental node. sonic-systems-inc .. nan,[1985],['sonicwall gms 1000 upgrade. nan. 63074.12'],"['sonicwall gms 1000n-incremental lic upg. sonic-systems-inc .. 62920.89', 'sonicwall gms 1000 upgrade. nan. 63074.12', '01-ssc-3363 sonicwall global management system standard edition license 10 nodes win. nan. 1835.31', '01-ssc-3377 sonicwall comprehensive gms 24x7 support sonicwall gms standard edition licens. nan. 60374.4', 'sonicwall comprehensive gateway security for tz 150 series 25 node sonicwall -. nan. 107.01', '01-ssc-6011 sonicwall update service for sonicwall content security manager 2100 cf mainte. nan. 5781.25', 'master server-upg. nan. 174.99', 'watchguard wg017091 fb x 3 port & high avail upg. nan. 135.34', 'wg4110 watchguard vpn manager upgrade package 10 nodes cd win english. nan. 1235.07', 'sonicwall 01-ssc-6997 3yr snwl client/server anti-virus 1000u sonicwall client/server anti-virus suite subscription license 3 years 1000 users 0758479069973. nan. 58683.36']","[0, 1, 0, 0, 0, 0, 0, 0, 0, 0]"
20,millie 's math house ages 3-7 ( win/mac ),ibm - ( aap-misc-parts ),,['millies math house'],['ibm - ( aap-misc-parts )'],[9.9],millie 's math house ages 3-7 ( win/mac ). ibm - ( aap-misc-parts ). nan,[1241],['millies math house. ibm - ( aap-misc-parts ). 9.9'],"['millies math house. ibm - ( aap-misc-parts ). 9.9', 'math missions : the amazing arcade adventure ( grades 3-5 ). nan. 12.95', 'math missions : the race to spectacle city arcade ( grades k-2 ). nan. 8.49', 'topics entertainment 80796 topics math success 2007 deluxe for windows educational software pc. nan. 33.97', 'weekly reader mastering elementary & middle school math ( pc/mac ) fogware. nan. 19.99', 'math learning system 2007. nan. 15.95', 'math success ( tm ) deluxe 2007. nan. 49.99', 'encore software 10538 adventure workshop preschool 7 by the learning company. nan. 17.97', 'school zone interactive multiplication & division 3-4 on track software. nan. 9.45', 'kutoka interactive 61208 mias math adventure ( just in time ) ( win 95 98 me 2000 xp/mac 8.6-9.x ( classic ) x v10 .1 or higher ). nan. 18.97']","[1, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
26,adobe premiere pro cs3 upgrade,adobe,299.0,"['premiere pro cs3 mac upgrade', 'adobe premiere pro cs3 upgrade']","[nan, nan]","[320.25, 308.99]",adobe premiere pro cs3 upgrade. adobe. 299.0,"[3032, 372]","['premiere pro cs3 mac upgrade. nan. 320.25', 'adobe premiere pro cs3 upgrade. nan. 308.99']","['adobe premiere pro cs3 upgrade. nan. 308.99', 'premiere pro cs3 mac upgrade. nan. 320.25', 'adobe cs3 production premium upgrade. nan. 822.99', 'adobe premiere pro cs3. nan. 825.99', 'adobe premiere pro cs3 academic. nan. 339.99', 'adobe cs3 web premium upgrade. nan. 517.99', 'adobe cs3 design premium upgrade. nan. 619.99', 'adobe premiere pro cs3 software with encore cs3 and onlocation cs3 ( windows only ) full version for macintosh. nan. 723.95', 'adobe cs3 after effects upgrade. nan. 306.99', 'adobe premiere pro cs3 software with encore cs3 and onlocation cs3 ( windows only ) full version for windows. nan. 723.95']","[1, 1, 0, 0, 0, 0, 0, 0, 0, 0]"
27,i copy dvds 2 professional edition,me-too-software,69.99,['i copydvds 2 professional edition'],['me-too-software'],[27.9],i copy dvds 2 professional edition. me-too-software. 69.99,[1447],['i copydvds 2 professional edition. me-too-software. 27.9'],"['i copydvds 2 professional edition. me-too-software. 27.9', 'me too software 800001 i copy dvds 2 ( win 98 me 2000 xp ). me-too-software. 43.97', 'me too software i transfer dvds 2 ipod. me-too-software. 29.99', 'corel intervideo dvd copy 5 express software for windows authoring software. nan. 29.95', 'corel intervideo dvd copy 5 platinum software for windows authoring software. nan. 49.95', 'i copy dvds 2 ultra edition. nan. 29.9', 'transfer my dvd avanquest usa. nan. 29.95', 'vitec multimedia dvd toolbox-2 toolbox2 software authoring software. nan. 394.95', 'ulead ( r ) dvd moviefactory ( r ) 5. nan. 49.99', 'vhs to dvd 3.0 deluxe. nan. 99.99']","[1, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
28,gen-x media made easy vol . 3,gen-x,49.95,['media made easy volume 3'],[nan],[24.9],gen-x media made easy vol . 3. gen-x. 49.95,[2000],['media made easy volume 3. nan. 24.9'],"['media made easy volume 3. nan. 24.9', 'emedia eg03014 bass method os x. emedia. 53.99', 'roxio ( r ) easy media creator ( r ) 9 suite. nan. 99.99', 'media 100 cinestream editing & streaming software consumer video editing software. nan. 49.95', 'roxio easy media creator 9 suite software for windows authoring software. nan. 98.95', 'socrates media contractors library software. nan. 43.99', 'git 40 years of marvel x-men dvd-rom. nan. 42.99', 'ejay dj mix station 3 digital leisure. nan. 29.99', 'iview mediapro 2.6 media management. nan. 155.99', 'roxio ( r ) popcorn ( tm ) 2. nan. 49.99']","[1, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
29,family tree maker 11.2 collector 's edition,encore,109.95,"[""family tree maker 11 collector 's edition""]",[nan],[34.9],family tree maker 11.2 collector 's edition. encore. 109.95,[2002],"[""family tree maker 11 collector 's edition. nan. 34.9""]","[""family tree maker 11 collector 's edition. nan. 34.9"", 'family tree maker 16 collectors edition. nan. 99.99', 'encore inc family tree maker version 16 collectors edition. nan. 85.07', 'encore software 10861 family tree maker version 16 collectors edition sb cs. nan. 81.97', 'family tree maker premium 11.2. nan. 99.97', 'encore software 10891 family tree maker version 16 essential sb cs. nan. 25.97', 'family tree maker deluxe 11.2. nan. 69.97', 'encore software 10871 family tree maker version 16 deluxe sb cs by family tree maker. nan. 57.97', 'encore software 10881 family tree maker version 16 standard sb cs by family tree maker. nan. 42.97', 'encore inc family tree maker v 16 essentials. nan. 25.75']","[1, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
