id_left,title_left,manufacturer_left,price_left,id_right,title_right,manufacturer_right,price_right,guid,label
8,mia 's math adventure : just in time,kutoka,19.99,1936,kutoka interactive 61208 mia 's math adventure : just in time !,kutoka interactive,24.99,train-8-1936,0
8,mia 's math adventure : just in time,kutoka,19.99,2328,kutoka interactive 61208 mias math adventure ( just in time ) ( win 95 98 me 2000 xp/mac 8.6-9.x ( classic ) x v10 .1 or higher ),,18.97,train-8-2328,1
8,mia 's math adventure : just in time,kutoka,19.99,3,math missions : the amazing arcade adventure ( grades 3-5 ),,12.95,train-8-3,0
8,mia 's math adventure : just in time,kutoka,19.99,3041,cluefinders 3rd grade adventures : mystery of mathra,,10.95,train-8-3041,0
8,mia 's math adventure : just in time,kutoka,19.99,3113,math missions : the race to spectacle city arcade ( grades k-2 ),,8.49,train-8-3113,0
8,mia 's math adventure : just in time,kutoka,19.99,3189,math success ( tm ) deluxe 2007,,49.99,train-8-3189,0
8,mia 's math adventure : just in time,kutoka,19.99,2968,mighty math number heroes,,9.95,train-8-2968,0
8,mia 's math adventure : just in time,kutoka,19.99,2757,jumpstart advanced 3rd grade ( pc/mac ) knowledge adventure,,19.99,train-8-2757,0
8,mia 's math adventure : just in time,kutoka,19.99,2134,treasure mathstorm,the-learning-company,9.9,train-8-2134,0
8,mia 's math adventure : just in time,kutoka,19.99,492,cyberchase adventures by brighter minds,brighter-minds-media-inc .,19.99,train-8-492,0
10,paper art : gift wrapping,arc-media-inc .,,1953,paper art volume 2 : gift wrapping,arc-media-inc .,6.95,train-10-1953,1
10,paper art : gift wrapping,arc-media-inc .,,1178,art explosion ( r ) greeting card factory ( r ) deluxe 6.0,,49.99,train-10-1178,0
10,paper art : gift wrapping,arc-media-inc .,,1486,hallmark half-fold matte prem . blank greeting cards ( 20 pack ) ( paper ),,10.99,train-10-1486,0
10,paper art : gift wrapping,arc-media-inc .,,1193,business cards certificates brochures,,19.99,train-10-1193,0
10,paper art : gift wrapping,arc-media-inc .,,983,nova greeting card factory for mac,,41.99,train-10-983,0
10,paper art : gift wrapping,arc-media-inc .,,3057,print workshop 2006 limited edition + 800000 + images,,7.95,train-10-3057,0
10,paper art : gift wrapping,arc-media-inc .,,1157,the print shop ( r ) 22,,29.99,train-10-1157,0
10,paper art : gift wrapping,arc-media-inc .,,300,encore inc printshop business card maker,riverdeep-learning-company,8.01,train-10-300,0
10,paper art : gift wrapping,arc-media-inc .,,393,nova development corp humorous greeting card factory,,28.3,train-10-393,0
10,paper art : gift wrapping,arc-media-inc .,,1168,art explosion ( r ) 800000,,79.99,train-10-1168,0
13,spy sweeper spanish,webroot software,29.95,2813,webroot spy sweeper spanish edition ( pc ),,29.99,train-13-2813,0
13,spy sweeper spanish,webroot software,29.95,2264,webroot software inc 31250 spy sweeper spanish win 2000 xp,,25.97,train-13-2264,1
