id_left,title_left,category_left,brand_left,modelno_left,price_left,id_right,title_right,category_right,brand_right,modelno_right,price_right,guid,label
978,sharpie permanent markers fine point - black - 12 count,stationery & office machinery,sharpie,30001wm,8.24,17238,sharpie 30078 - permanent markers fine point assorted 8 set,home security systems,sharpie,,,train-978-17238,no
2396,crown super-soaker polypropylene wiper mat with gripper bottom 45 x 67 charcoal,rugs,crown,ssr046ch,139.97,18101,new-crown ssr046ch - super-soaker wiper mat w gripper bottm polypropylene 45 x 67 charcoal - cwnssr046ch,laminating supplies,crown,,213.0,train-2396-18101,yes
261,xerox 108r00645 imaging unit for phaser 6300 and 6350 printer,printers,xerox,108r00645,244.84,5192,xerox printers imaging unit phaser 6300 6350 108 r00645,printer ink toner,xerox,108r00645,253.79,train-261-5192,yes
1225,vantec nexstar 2.5 sata to usb 2.0 hard drive dock,electronics - general,vantec,nst-d100s2,24.2,12464,vantec nexstar tx 2.5-inch sata to usb 2.0 external hard drive enclosure,hard drive enclosures,vantec,nst-210s2-bk,9.77,train-1225-12464,no
541,igo bn00281-0002 dual usb wall auto charger,mp3 accessories,igo,bn00281-0002,36.16,9189,dual usb wall auto charger-micr mini usb-includes igo tip a32 a97,chargers,igo,bn00281-0002,25.22,train-541-9189,yes
670,centon 8gb datastick pro usb flash drive 2-pack bundle,computers,,,24.0,8591,centon 16 gb datastick pro usb 2.0 flash drive dsp16gb-009,computer components,centon,dsp16gb-009,21.4,train-670-8591,no
1134,da-lite high power advantage manual with csr - hdtv format 133 diagonal,electronics - general,da-lite,85742,1267.99,6753,da-lite advantage manual with csr - projection screen - 1 1 - high power,projection screens,da-lite,,,train-1134-6753,no
991,avery index maker clear label dividers 5-tab white,stationery & office machinery,avery,11416,3.88,12312,avery index maker clear label dividers with 5 white tabs 25 count 11446,binder index dividers,avery,11446,52.99,train-991-12312,yes
725,c-line top-load poly sheet protectors heavy gauge letter 200ct,stationery & office machinery,,62097,28.94,16800,c-line 62097 - top-load polypropylene sheet protectors heavy gauge letter 200 box,storage presentation materials,c-line,,,train-725-16800,yes
496,case logic universal pocket - camouflage,mp3 accessories,case logic,122245,9.59,4496,case logic upc-2 mossy oak universal pocket,cases bags,case logic,upc-2,11.99,train-496-4496,yes
2210,crown tire-track scraper needlepunch polypropylene vinyl mat 48 x 72 anthracite,rugs,crown,te0046ac,124.97,16560,new-crown te0046ac - tire-track scraper mat needlepunch polypropylene vinyl 48 x 72 anthracite - cwnte0046ac,laminating supplies,crown,,,train-2210-16560,yes
1112,kingston kvr800d2n5 1g valueram 1gb ddr2-800 240-pin sdram desktop memory module,memory,kingston,kvr800d2n5/1g,20.92,6829,kingston 1gb ddr2 667mhz 240-pin ram memory for dell desktop pc,,kingston,,,train-1112-6829,no
1927,iosafe rugged 500gb usb 3.0 portable external hard drive,hard drives,iosafe,pa50500u5yr,299.98,4855,iosafe rugged portable 250 gb usb 3.0 external hard drive pa50250u1yr,external hard drives,iosafe,pa50250u1yr,145.99,train-1927-4855,no
2378,lg 32 class lcd 720p 60hz hdtv 32lk330,electronics : flat panel tv,lg,32lk330,344.0,11830,lg 32lk330 32-inch 720p 60 hz lcd hdtv,tvs,lg,32lk330,,train-2378-11830,yes
2283,plantronics h91cis encore h91 headset,electronics - general,plantronics,h91cis,119.88,19125,plantronics . audio 476 dsp pc headset,headsets microphones,plantronics,"plantronics . audio 476 , dsp , pc headset",30.27,train-2283-19125,no
2014,storm 2306 case with foam olive drab,photography - general,storm,im2306-30001,97.88,11740,pelican storm im2306 case watertight padlockable case with multilayer cubed foam interior olive drab,accessories supplies,pelican,,69.95,train-2014-11740,yes
917,oxford 5-1 4 capacity box file storage box letter binder board black orange,stationery & office machinery,oxford,40578,35.94,17317,oxford 40578 - 5-1 4 capacity box file storage box letter binder board black orange,,oxford,,,train-917-17317,yes
