id_left,title_left,category_left,brand_left,modelno_left,price_left,title_right,category_right,brand_right,modelno_right,price_right,text_src,id_right,text_tgt,candidates,labels
5,3m fr530cb ergonomic adjustable footrest,furniture,3m,fr530cb,67.88,['fr530cb 3m adjustable footrest'],['footrests'],['3m #'],['fr530cb #'],[67.34],3m fr530cb ergonomic adjustable footrest. furniture. 3m. fr530cb. 67.88,[20932],['fr530cb 3m adjustable footrest. footrests. 3m #. fr530cb #. 67.34'],"['fr530cb 3m adjustable footrest. footrests. 3m #. fr530cb #. 67.34', '3m fr530cb - adjustable steel footrest nonslip surface 22w x14d charcoal black. footrests. 3m. nan. nan', 'fellowes 8035001 adjustable locking footrest with microban black silver. footrests. fellowes. 8035001. 38.24', 'safco 2105 - ergo-comfort adjustable footrest 18-1 2w x 11-1 2d x 5h black. footrests. safco. nan. nan', 'rubbermaid commercial 65837 - tilting footrest angle adjustable charcoal 17-3 4w x 13d x 3-1 2h. footrests. rubbermaid. nan. nan', 'scotts solemate adjustable footrest. footrests. united stationers. footrest with gel pad. 48.25', '3m adjustable under-desk keyboard drawer gel wrist rest with antimicrobial product protection kd90. keyboard drawers platforms. 3m. kd90. 85.99', '3m lever-adjust keyboard tray with adjustable platform 21-3 4 inch track akt100le. keyboard drawers platforms. 3m. akt100le. 147.99', '3m adjustable cpu stand cs100mb. nan. 3m. cs100mb. 15.99', '3m knob-adjust keyboard tray with adjustable platform 17 inch track akt80le. keyboard drawers platforms. 3m. akt80le. 123.92']","[1, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
7,visioneer rw120-wu roadwarrior sheetfed scanner,electronics - general,visioneer,rw120-wu,199.98,['visioneer roadwarrior mobile 600 dpi usb scanner rw120-wu'],['scanners'],['visioneer'],['rw120-wu'],[nan],visioneer rw120-wu roadwarrior sheetfed scanner. electronics - general. visioneer. rw120-wu. 199.98,[1303],['visioneer roadwarrior mobile 600 dpi usb scanner rw120-wu. scanners. visioneer. rw120-wu. nan'],"['visioneer roadwarrior mobile 600 dpi usb scanner rw120-wu. scanners. visioneer. rw120-wu. nan', 'visioneer strobe xp 220 600 dpi portable scanner with one touch pdf and vrs image enhancement sxp2205d-wu. printer accessories. visioneer. sxp2205d-wu. 107.99', 'visioneer one touch 9450 usb 600 dpi flatbed adf color scanner 94501d-usb. scanners. visioneer. 94501d-usb. 134.95', 'visioneer mobility mobile color cordless scanner 300 dpi with smartphone sd card or usb capabilities mobile-scan. scanners. visioneer. mobile-scan. 163.66', 'visioneer strobe 500 mobile duplex color scanner with docking station adf 600 dpi and usb strobe-500. scanners. visioneer. strobe-500. 339.67', 'xerox documate 3115 sheetfed adf color duplex mobile scanner and docking station with 600 dpi usb or ac powered xdm-3115m-wu. scanners. visioneer. xdm31155m-wu. 294.03', 'visioneer strobe 400 mobile and desktop flexibility duplex color scanner with 600 dpi usb vrs image enhancement and one touch technology strobe-400. scanners. visioneer. strobe-400. nan', 'smartoffice ps406u sheetfed scanner. scanners. plustek. nan. 1152.96', 'fujitsu scansnap s1500 deluxe bundle sheet-fed scanner. scanners. fujitsu. fi-s1500-sr. 440.99', 'genius colorpage-sf600 sheet fed scanner. scanners. jvc. 32100152101. 75.99']","[1, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
15,avery self-adhesive filing labels 1 3 cut 3-7 16 x 2 3 clear 450 pack,stationery & office machinery,avery,5029,21.47,"['avery 5029 clear self-adhesive filing labels 3-7 16 x 2 3 30 sheet 450 pack', 'avery 5029 - self-adhesive filing labels 1 3 cut 2 3 x 3-7 16 clear 450 pack']","['file folder labels', 'computers accessories']","['avery', 'avery']","['5029', nan]","[14.2, nan]",avery self-adhesive filing labels 1 3 cut 3-7 16 x 2 3 clear 450 pack. stationery & office machinery. avery. 5029. 21.47,"[4282, 17364]","['avery 5029 clear self-adhesive filing labels 3-7 16 x 2 3 30 sheet 450 pack. file folder labels. avery. 5029. 14.2', 'avery 5029 - self-adhesive filing labels 1 3 cut 2 3 x 3-7 16 clear 450 pack. computers accessories. avery. nan. nan']","['new-avery 5029 - self-adhesive filing labels 1 3 cut 2 3 x 3-7 16 clear 450 pack - ave5029. other office equipment. avery. nan. 35.0', 'avery 5029 clear self-adhesive filing labels 3-7 16 x 2 3 30 sheet 450 pack. file folder labels. avery. 5029. 14.2', 'avery 5029 - self-adhesive filing labels 1 3 cut 2 3 x 3-7 16 clear 450 pack. computers accessories. avery. nan. nan', 'new-avery 5027 - extra-large 1 3-cut filing labels 15 16 x 3-7 16 white 450 pack - ave5027. other office equipment. avery. nan. 33.0', 'avery 5314 self-adhesive address labels for copiers clear 1 x 2-13 16 660 labels pack. shipping labels. avery. 5314. 14.7', 'avery 5026 - extra-large 1 3-cut filing labels 15 16 x 3-7 16 white assorted bars 450 pack. nan. avery. nan. nan', 'new-avery 5026 - extra-large 1 3-cut filing labels 15 16 x 3-7 16 white assorted bars 450 pack - ave5026. other office equipment. avery. nan. 33.0', 'avery self-adhesive removable labels 1 x 1.5 inches white 500 per pack 05434. all-purpose labels. avery. 05434. 4.56', 'avery print or write file folder labels for laser and inkjet printers 1 3 cut black pack of 252 5211. file folder labels. avery. 05211. 4.97', 'avery self-adhesive removable labels 3 x 4 inches white 80 per pack 05453. all-purpose labels. avery. 05453. 6.16']","[0, 1, 1, 0, 0, 0, 0, 0, 0, 0]"
20,mead spiral bound notebook college rule,stationery & office machinery,mead,6622,3.88,['new-mead 06622 - spiral bound notebook college rule 8-1 2 x 11 white 100 sheets pad - mea06622'],['storage presentation materials'],['mead'],[nan],[12.24],mead spiral bound notebook college rule. stationery & office machinery. mead. 6622. 3.88,[16837],['new-mead 06622 - spiral bound notebook college rule 8-1 2 x 11 white 100 sheets pad - mea06622. storage presentation materials. mead. nan. 12.24'],"['new-mead 06622 - spiral bound notebook college rule 8-1 2 x 11 white 100 sheets pad - mea06622. storage presentation materials. mead. nan. 12.24', 'new-five star 06210 - wirebound notebook college rule 3 subject 150 sheets - mea06210. storage presentation materials. five star. nan. 18.14', 'mea45388 - notebook college ruled 200 sheets 5-1 2x4 assorted. audio video accessories. mead. nan. 1.49', 'national brand 31364 - 3-subject notebook college margin rule 6-3 8 x 9-1 2 we 120 sheets. printers. national. nan. 16.17', 'new-five star 06112 - trend wirebound notebooks college rule 8 1 2 x 11 5 subject 200 sheets - mea06112. storage presentation materials. five star. nan. 21.0', 'new-five star 06208 - wirebound notebook college rule letter white 5 subject 200 sheets pad - mea06208. storage presentation materials. five star. nan. 21.0', 'tops 1-subject spiral theme book wide rule 8 x 10.5 inch bright white paper 70 sheets per book cover color may vary 65000. car electronics. tops. 65000. 3.99', 'new-mead 06070 - cambridge 2-subject wirebound business notebook lgl rule ltr we 96 pages - mea06070. storage presentation materials. mead. nan. 19.0', 'new-five star 06050 - trend wirebound notebook 3-sub college we 8 1 2 x 11 3 subject 150 sheets - mea06050. storage presentation materials. five star. nan. 18.14', 'mead 06092 - cambridge wirebound business notebook planner lgl rule ltr we 96-sheets. printers. mead. nan. nan']","[1, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
29,vantec nexstar mx dual 3.5 sata hard drive enclosure,electronics - general,vantec,nst-400mx-s2,49.71,['vantec nexstar mx nst-400mx-s2 dual 3.5-inch sata to usb 2.0 with jbod external hard drive enclosure black'],['hard drive enclosures'],['vantec'],['nst-400mx-s2'],[44.99],vantec nexstar mx dual 3.5 sata hard drive enclosure. electronics - general. vantec. nst-400mx-s2. 49.71,[6031],['vantec nexstar mx nst-400mx-s2 dual 3.5-inch sata to usb 2.0 with jbod external hard drive enclosure black. hard drive enclosures. vantec. nst-400mx-s2. 44.99'],"['vantec nexstar mx nst-400mx-s2 dual 3.5-inch sata to usb 2.0 with jbod external hard drive enclosure black. hard drive enclosures. vantec. nst-400mx-s2. 44.99', 'vantec nexstar mx nst-400mx-sr dual 3.5-inch sata to usb 2.0 and esata with jbod raid 0 1 external hard drive enclosure black. hard drive enclosures. vantec. nst-400mx-sr. 91.99', 'vantec nexstar tx 2.5-inch sata to usb 2.0 external hard drive enclosure. hard drive enclosures. vantec. nst-210s2-bk. 9.77', 'vantec usa nexstar cx 2.5-inch sata to usb 3.0 external hard drive enclosure nst-200s3-bk. external hard drives. vantec. nst-200s3-bk. 19.99', 'vantec nexstar 3 superspeed 3.5 sata i ii to usb 3.0 external enclosure. hard drive enclosures. vantec. nst-380s3-bk. 40.99', 'vantec nexstar cx nst-300s2-bk 3.5-inch sata to usb 2.0 external hard drive enclosure black. hard drive enclosures. vantec. nst-300s2-bk. 21.28', 'vantec nexstar cx nst-200s2-bk 2.5-inch sata to usb 2.0 external hard drive enclosure black. hard drive enclosures. vantec. nst-200s2-bk. 10.15', 'vantec nexstar sx nst-285s2-bk 2.5-inch sata to usb 2.0 external hard drive enclosure onyx black. hard drive enclosures. vantec. nst-285s2-bk. 18.06', 'vantec nexstar 3 nst-360su-bk 3.5-inch sata to usb 2.0 and esata external hard drive enclosure onyx black. hard drive enclosures. vantec. nst-360su-bk. 28.99', 'vantec nexstar dx nst-530s2 5.25-inch sata to usb 2.0 optical drive external enclosure black. hard drive enclosures. vantec. nst-530s2. 33.99']","[1, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
30,fujifilm instax mini twin pack film,film cameras,fuji,mini film 2pk,20.28,['fujifilm instax mini twin pack instant film'],['film'],['fuji'],['instax mini twin pack'],[18.36],fujifilm instax mini twin pack film. film cameras. fuji. mini film 2pk. 20.28,[11088],['fujifilm instax mini twin pack instant film. film. fuji. instax mini twin pack. 18.36'],"['fujifilm instax mini twin pack instant film. film. fuji. instax mini twin pack. 18.36', 'fujifilm instax wide instant film twin pack. film. fuji. instax twin pack. 15.95', 'fujifilm instax instant film twin pack - 5 twin packs 10 packs total. film. fuji. nan. 82.95', 'fujifilm quicksnap flash 400 single-use camera with flash 2 pack. disposable cameras. fuji. flash 400 2-pack. 9.7', 'fujifilm quicksnap 400 speed single use camera with flash 10-pack. disposable cameras. fuji. afujqsf400k1. 43.4', 'fujifilm quick snap waterproof 35mm single use camera. disposable cameras. fuji. 7125229. 8.98', 'fujifilm superia 800 speed 24 exposure 35mm film 4 pack. film. fuji. 800. 4.99', 'funsaver one time use film camera 2-pack. disposable cameras. kodak. nan. 9.85', 'fuji x-tra800 quicksnap superia iso 800 single use camera with flash - 27 exposure. camera photo. fuji. 7129032. 8.49', 'fujifilm 1014258 superia x-tra 400 35mm film -4 pack. film. fuji. x-tra 400. 3.85']","[1, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
34,hp 45 black inkjet cartridge 51645a,printers,hp,51645a,35.78,['hp 45 black ink cartridge in retail packaging'],['inkjet printer ink'],['hp'],['hp 45 black inkjet print cartridge'],[28.89],hp 45 black inkjet cartridge 51645a. printers. hp. 51645a. 35.78,[3067],['hp 45 black ink cartridge in retail packaging. inkjet printer ink. hp. hp 45 black inkjet print cartridge. 28.89'],"['ld hewlett packard 51645a hp 45 black remanufactured ink cartridge. inkjet printer ink. 4inkjets. nan. 8.99', 'hp 45 black ink cartridge in retail packaging. inkjet printer ink. hp. hp 45 black inkjet print cartridge. 28.89', 'hewlett-packard 51629a hp 29 black ink cartridge. inkjet printer ink. hp. 51629a. 9.95', 'hp laserjet 53a black print cartridge in retail packaging. printer ink toner. hp. q7553a. 68.87', 'hp laserjet 51a black print cartridge in retail packaging. printer ink toner. hp. q7551a. 112.11', 'hp 564 black ink cartridge in retail packaging. inkjet printer ink. hp. cb316wn # 140. nan', 'hp 14 black ink cartridge in retail packaging. inkjet printer ink. hp. c5011d. 16.08', 'hp laserjet 15a black print cartridge in retail packaging. laser printer toner. hp. c7115a. 52.0', 'hp 15 and 78 color and black ink cartridge. printer ink toner. hp. c9353bn. 59.74', 'hp laserjet 42a black print cartridge in retail packaging. laser printer toner. hp. q5942a. 125.0']","[0, 1, 0, 0, 0, 0, 0, 0, 0, 0]"
49,targus impax sleeve for 15 macbook pro red,electronics - general,targus,tss28802us,35.0,['targus impax sleeve for 15-inch macbook pro and macbook air - tss28802us red yellow with gray accents'],['cases sleeves'],['targus'],['tss28802us'],[29.25],targus impax sleeve for 15 macbook pro red. electronics - general. targus. tss28802us. 35.0,[8096],['targus impax sleeve for 15-inch macbook pro and macbook air - tss28802us red yellow with gray accents. cases sleeves. targus. tss28802us. 29.25'],"['targus impax sleeve for 15-inch macbook pro and macbook air - tss28802us red yellow with gray accents. cases sleeves. targus. tss28802us. 29.25', 'targus impax sleeve for 17-inch macbook pro and macbook air - tss278us black yellow with gray accents. cases sleeves. targus. tss278us. 28.1', 'targus impax sleeve designed for 14-inch laptops - tss20701us red and gray accents. bags cases. targus. tss20701us. 32.12', 'targus impax sleeve for apple ipad 16gb 32gb 64gb wifi 3g ipad 2 tss20501us red with gray accents. cases sleeves. targus. tss20501us. 29.99', 'targus banker sleeve for 15-inch macbook pro and macbook pro tss25101us black. bags cases. targus. tss25101us. 14.99', 'targus impax sleeve designed for 14-inch laptops - tss207us black yellow and gray accents. bags cases. targus. tss207us. 34.16', 'targus banker sleeve for 13-inch macbook pro and macbook air tss27401us black. bags cases. targus. tss27401us. 14.99', 'targus a7 13-inch sleeve with ariaprene for macbook pro and macbook air - tss285us black. cases sleeves. targus. tss285us. 22.02', 'targus impax sleeve for apple ipad 16gb 32gb 64gb wifi 3g ipad 2 tss20502us blue with gray accents. cases sleeves. targus. tss20502us. 29.85', 'targus impax sleeve for apple ipad 16gb 32gb 64gb wifi 3g ipad 2 tss205us black with yellow and gray accents. cases sleeves. targus. tss205us. 28.7']","[1, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
54,canon imageformula dr-2010c compact color scanner,electronics - general,canon,dr-2010c,479.98,['canon 2454b002 imageformula dr-2010c compact color scanner'],['scanners'],['canon'],['2454b002'],[400.0],canon imageformula dr-2010c compact color scanner. electronics - general. canon. dr-2010c. 479.98,[6572],['canon 2454b002 imageformula dr-2010c compact color scanner. scanners. canon. 2454b002. 400.0'],"['canon 2455b002 imageformula dr-2510c compact color scanner. scanners. canon. 2455b002. 617.99', 'canon 2454b002 imageformula dr-2010c compact color scanner. scanners. canon. 2454b002. 400.0', 'canon lide200 color image scanner 2924b002. scanners. canon. 2924b002. 59.95', 'canon imageformula p-150 portable document scanner scan-tini. scanners. canon. 4081b007. nan', 'canon 0088t050 imageformula p-150 portable document scanner scan-tini with deposit. printer accessories. canon. 0088t050. 269.0', 'canon canoscan lide210 color image scanner 4508b002. scanners. canon. lide210. 84.24', 'canon canoscan lide110 color image scanner 4507b002. scanners. canon. lide110. 54.39', 'canon color imageclass mf9220cdn all-in-one printer 4495b001aa. all-in-one printers. canon. mf9220cdn. 964.28', 'canon imageclass mf4450 laser multifunction printer. laser all-in-one printers. canon. 4509b021aa. 149.99', 'canon imageclass mf4370dn laser all-in-one printer. laser all-in-one printers. canon. mf4370dn. 194.99']","[0, 1, 0, 0, 0, 0, 0, 0, 0, 0]"
56,edge tech proshot 4gb sdhc class 6 memory card,usb drives,edge tech,pe209780,10.88,"['4gb edge proshot sdhc memory card class6', '4gb edge proshot sdhc memory card class6']","['hard drive enclosures', 'computers accessories']","['edge', 'edge']","['edgdm-209780-pe', nan]","[11.87, 17.83]",edge tech proshot 4gb sdhc class 6 memory card. usb drives. edge tech. pe209780. 10.88,"[21964, 9164]","['4gb edge proshot sdhc memory card class6. hard drive enclosures. edge. edgdm-209780-pe. 11.87', '4gb edge proshot sdhc memory card class6. computers accessories. edge. nan. 17.83']","['4gb edge proshot sdhc memory card class6. hard drive enclosures. edge. edgdm-209780-pe. 11.87', '8gb edge proshot sdhc memory card class6. hard drive enclosures. edge. edgdm-209797-pe. 12.4', 'edge proshot - flash memory card - 4 gb - class 10 - sdhc. memory cards. edge. edgdm-225759-pe. 8.08', 'edge proshot - flash memory card - 8 gb - class 10 - sdhc. memory cards. edge. edgdm-225766-pe. 13.55', 'edge proshot - flash memory card - 16 gb - class 10 - sdhc. memory cards. edge. edgdm-225773-pe. 21.25', 'edge proshot - flash memory card - 32 gb - class 10 - sdhc. memory cards. edge. edgdm-225780-pe. 40.11', 'edge proshot - flash memory card microsdhc to sd adapter included - 4 gb - class 4 - microsdhc. computer components. edge. edgdm-227968-pe. 6.54', 'edge proshot - flash memory card microsdhc to sd adapter included - 8 gb - class 4 - microsdhc. computer components. edge. edgdm-227975-pe. 11.7', '4gb edge proshot sdhc memory card class6. computers accessories. edge. nan. 17.83', 'edge proshot - flash memory card - 16 gb - class 2 - microsdhc. memory cards. edge. edgdm-221591-pe. 25.37']","[1, 0, 0, 0, 0, 0, 0, 0, 1, 0]"
