id_left,title_left,category_left,brand_left,modelno_left,price_left,id_right,title_right,category_right,brand_right,modelno_right,price_right,guid,label
5,3m fr530cb ergonomic adjustable footrest,furniture,3m,fr530cb,67.88,20932,fr530cb 3m adjustable footrest,footrests,3m #,fr530cb #,67.34,train-5-20932,1
5,3m fr530cb ergonomic adjustable footrest,furniture,3m,fr530cb,67.88,10422,3m fr530cb - adjustable steel footrest nonslip surface 22w x14d charcoal black,footrests,3m,,,train-5-10422,0
5,3m fr530cb ergonomic adjustable footrest,furniture,3m,fr530cb,67.88,1144,fellowes 8035001 adjustable locking footrest with microban black silver,footrests,fellowes,8035001,38.24,train-5-1144,0
5,3m fr530cb ergonomic adjustable footrest,furniture,3m,fr530cb,67.88,20228,safco 2105 - ergo-comfort adjustable footrest 18-1 2w x 11-1 2d x 5h black,footrests,safco,,,train-5-20228,0
5,3m fr530cb ergonomic adjustable footrest,furniture,3m,fr530cb,67.88,17878,rubbermaid commercial 65837 - tilting footrest angle adjustable charcoal 17-3 4w x 13d x 3-1 2h,footrests,rubbermaid,,,train-5-17878,0
5,3m fr530cb ergonomic adjustable footrest,furniture,3m,fr530cb,67.88,1704,scotts solemate adjustable footrest,footrests,united stationers,footrest with gel pad,48.25,train-5-1704,0
5,3m fr530cb ergonomic adjustable footrest,furniture,3m,fr530cb,67.88,12427,3m adjustable under-desk keyboard drawer gel wrist rest with antimicrobial product protection kd90,keyboard drawers platforms,3m,kd90,85.99,train-5-12427,0
5,3m fr530cb ergonomic adjustable footrest,furniture,3m,fr530cb,67.88,7866,3m lever-adjust keyboard tray with adjustable platform 21-3 4 inch track akt100le,keyboard drawers platforms,3m,akt100le,147.99,train-5-7866,0
5,3m fr530cb ergonomic adjustable footrest,furniture,3m,fr530cb,67.88,10424,3m adjustable cpu stand cs100mb,,3m,cs100mb,15.99,train-5-10424,0
5,3m fr530cb ergonomic adjustable footrest,furniture,3m,fr530cb,67.88,6392,3m knob-adjust keyboard tray with adjustable platform 17 inch track akt80le,keyboard drawers platforms,3m,akt80le,123.92,train-5-6392,0
7,visioneer rw120-wu roadwarrior sheetfed scanner,electronics - general,visioneer,rw120-wu,199.98,1303,visioneer roadwarrior mobile 600 dpi usb scanner rw120-wu,scanners,visioneer,rw120-wu,,train-7-1303,1
7,visioneer rw120-wu roadwarrior sheetfed scanner,electronics - general,visioneer,rw120-wu,199.98,13268,visioneer strobe xp 220 600 dpi portable scanner with one touch pdf and vrs image enhancement sxp2205d-wu,printer accessories,visioneer,sxp2205d-wu,107.99,train-7-13268,0
7,visioneer rw120-wu roadwarrior sheetfed scanner,electronics - general,visioneer,rw120-wu,199.98,15251,visioneer one touch 9450 usb 600 dpi flatbed adf color scanner 94501d-usb,scanners,visioneer,94501d-usb,134.95,train-7-15251,0
7,visioneer rw120-wu roadwarrior sheetfed scanner,electronics - general,visioneer,rw120-wu,199.98,5237,visioneer mobility mobile color cordless scanner 300 dpi with smartphone sd card or usb capabilities mobile-scan,scanners,visioneer,mobile-scan,163.66,train-7-5237,0
7,visioneer rw120-wu roadwarrior sheetfed scanner,electronics - general,visioneer,rw120-wu,199.98,5236,visioneer strobe 500 mobile duplex color scanner with docking station adf 600 dpi and usb strobe-500,scanners,visioneer,strobe-500,339.67,train-7-5236,0
7,visioneer rw120-wu roadwarrior sheetfed scanner,electronics - general,visioneer,rw120-wu,199.98,1236,xerox documate 3115 sheetfed adf color duplex mobile scanner and docking station with 600 dpi usb or ac powered xdm-3115m-wu,scanners,visioneer,xdm31155m-wu,294.03,train-7-1236,0
7,visioneer rw120-wu roadwarrior sheetfed scanner,electronics - general,visioneer,rw120-wu,199.98,9284,visioneer strobe 400 mobile and desktop flexibility duplex color scanner with 600 dpi usb vrs image enhancement and one touch technology strobe-400,scanners,visioneer,strobe-400,,train-7-9284,0
7,visioneer rw120-wu roadwarrior sheetfed scanner,electronics - general,visioneer,rw120-wu,199.98,19193,smartoffice ps406u sheetfed scanner,scanners,plustek,,1152.96,train-7-19193,0
7,visioneer rw120-wu roadwarrior sheetfed scanner,electronics - general,visioneer,rw120-wu,199.98,3145,fujitsu scansnap s1500 deluxe bundle sheet-fed scanner,scanners,fujitsu,fi-s1500-sr,440.99,train-7-3145,0
7,visioneer rw120-wu roadwarrior sheetfed scanner,electronics - general,visioneer,rw120-wu,199.98,11070,genius colorpage-sf600 sheet fed scanner,scanners,jvc,32100152101,75.99,train-7-11070,0
15,avery self-adhesive filing labels 1 3 cut 3-7 16 x 2 3 clear 450 pack,stationery & office machinery,avery,5029,21.47,17810,new-avery 5029 - self-adhesive filing labels 1 3 cut 2 3 x 3-7 16 clear 450 pack - ave5029,other office equipment,avery,,35.0,train-15-17810,0
15,avery self-adhesive filing labels 1 3 cut 3-7 16 x 2 3 clear 450 pack,stationery & office machinery,avery,5029,21.47,4282,avery 5029 clear self-adhesive filing labels 3-7 16 x 2 3 30 sheet 450 pack,file folder labels,avery,5029,14.2,train-15-4282,1
15,avery self-adhesive filing labels 1 3 cut 3-7 16 x 2 3 clear 450 pack,stationery & office machinery,avery,5029,21.47,17364,avery 5029 - self-adhesive filing labels 1 3 cut 2 3 x 3-7 16 clear 450 pack,computers accessories,avery,,,train-15-17364,1
15,avery self-adhesive filing labels 1 3 cut 3-7 16 x 2 3 clear 450 pack,stationery & office machinery,avery,5029,21.47,17667,new-avery 5027 - extra-large 1 3-cut filing labels 15 16 x 3-7 16 white 450 pack - ave5027,other office equipment,avery,,33.0,train-15-17667,0
15,avery self-adhesive filing labels 1 3 cut 3-7 16 x 2 3 clear 450 pack,stationery & office machinery,avery,5029,21.47,6272,avery 5314 self-adhesive address labels for copiers clear 1 x 2-13 16 660 labels pack,shipping labels,avery,5314,14.7,train-15-6272,0
15,avery self-adhesive filing labels 1 3 cut 3-7 16 x 2 3 clear 450 pack,stationery & office machinery,avery,5029,21.47,8008,avery 5026 - extra-large 1 3-cut filing labels 15 16 x 3-7 16 white assorted bars 450 pack,,avery,,,train-15-8008,0
15,avery self-adhesive filing labels 1 3 cut 3-7 16 x 2 3 clear 450 pack,stationery & office machinery,avery,5029,21.47,17050,new-avery 5026 - extra-large 1 3-cut filing labels 15 16 x 3-7 16 white assorted bars 450 pack - ave5026,other office equipment,avery,,33.0,train-15-17050,0
15,avery self-adhesive filing labels 1 3 cut 3-7 16 x 2 3 clear 450 pack,stationery & office machinery,avery,5029,21.47,2011,avery self-adhesive removable labels 1 x 1.5 inches white 500 per pack 05434,all-purpose labels,avery,05434,4.56,train-15-2011,0
15,avery self-adhesive filing labels 1 3 cut 3-7 16 x 2 3 clear 450 pack,stationery & office machinery,avery,5029,21.47,8338,avery print or write file folder labels for laser and inkjet printers 1 3 cut black pack of 252 5211,file folder labels,avery,05211,4.97,train-15-8338,0
15,avery self-adhesive filing labels 1 3 cut 3-7 16 x 2 3 clear 450 pack,stationery & office machinery,avery,5029,21.47,20000,avery self-adhesive removable labels 3 x 4 inches white 80 per pack 05453,all-purpose labels,avery,05453,6.16,train-15-20000,0
20,mead spiral bound notebook college rule,stationery & office machinery,mead,6622,3.88,16837,new-mead 06622 - spiral bound notebook college rule 8-1 2 x 11 white 100 sheets pad - mea06622,storage presentation materials,mead,,12.24,train-20-16837,1
20,mead spiral bound notebook college rule,stationery & office machinery,mead,6622,3.88,17436,new-five star 06210 - wirebound notebook college rule 3 subject 150 sheets - mea06210,storage presentation materials,five star,,18.14,train-20-17436,0
20,mead spiral bound notebook college rule,stationery & office machinery,mead,6622,3.88,2791,mea45388 - notebook college ruled 200 sheets 5-1 2x4 assorted,audio video accessories,mead,,1.49,train-20-2791,0
20,mead spiral bound notebook college rule,stationery & office machinery,mead,6622,3.88,110,national brand 31364 - 3-subject notebook college margin rule 6-3 8 x 9-1 2 we 120 sheets,printers,national,,16.17,train-20-110,0
20,mead spiral bound notebook college rule,stationery & office machinery,mead,6622,3.88,17766,new-five star 06112 - trend wirebound notebooks college rule 8 1 2 x 11 5 subject 200 sheets - mea06112,storage presentation materials,five star,,21.0,train-20-17766,0
20,mead spiral bound notebook college rule,stationery & office machinery,mead,6622,3.88,17765,new-five star 06208 - wirebound notebook college rule letter white 5 subject 200 sheets pad - mea06208,storage presentation materials,five star,,21.0,train-20-17765,0
20,mead spiral bound notebook college rule,stationery & office machinery,mead,6622,3.88,14036,tops 1-subject spiral theme book wide rule 8 x 10.5 inch bright white paper 70 sheets per book cover color may vary 65000,car electronics,tops,65000,3.99,train-20-14036,0
20,mead spiral bound notebook college rule,stationery & office machinery,mead,6622,3.88,16534,new-mead 06070 - cambridge 2-subject wirebound business notebook lgl rule ltr we 96 pages - mea06070,storage presentation materials,mead,,19.0,train-20-16534,0
20,mead spiral bound notebook college rule,stationery & office machinery,mead,6622,3.88,17437,new-five star 06050 - trend wirebound notebook 3-sub college we 8 1 2 x 11 3 subject 150 sheets - mea06050,storage presentation materials,five star,,18.14,train-20-17437,0
20,mead spiral bound notebook college rule,stationery & office machinery,mead,6622,3.88,16593,mead 06092 - cambridge wirebound business notebook planner lgl rule ltr we 96-sheets,printers,mead,,,train-20-16593,0
