id_left,name_left,description_left,price_left,id_right,name_right,description_right,price_right,guid,label
344,linksys wireless-g broadband router wrt54gl,linksys wireless-g broadband router wrt54gl all-in-one internet-sharing router 4-port switch push button setup feature tkip and aes encryption wireless mac address filtering powerful spi firewall 54mbps wireless-g ( 802.11 g ) access point,79.0,81,linksys wrv54g wireless-g vpn broadband router,,,train-344-81,no
340,seiko quartz le grand sport womens watch sxda04,seiko quartz le grand sport womens watch sxda04 cabochon crown sapphire crystal 50 meters water resistant,,407,seiko sxda04,,138.0,train-340-407,yes
1017,sharp aquos 42 ' black lcd hdtv lc42d85u,"sharp aquos 42 ' black lcd hdtv lc42d85u full hd 1080p ( 1920 x 1080 ) resolution aquos link 120hz fine motion enhanced built-in atsc/qam/ntsc tuners 60,000 hours lamp life 4ms response time hdmi inputs black finish",,1041,sharp lc-52d85u 52 ' widescreen 1080p lcd hdtv 120hz 4ms response time,,1648.72,train-1017-1041,no
932,sony vaio cs series black notebook computer vgncs180jq,sony vaio cs series black notebook computer vgncs180jq 2.26 ghz intel core 2 duo processor p8400 14.1 ' ( 1280 x 800 ) xbrite-eco widescreen display 320gb serial ata 5400rpm hard drive built-in 1.3 megapixel motion eye camera and microphone 4gb pc2-6400 ( 2gbx2 ) installed memory integrated stereo a2dp bluetooth 1066mhz front side bus speed 3mb l2 cache blu-ray drive ( read only ) genuine microsoft windows vista home premium 64-bit black finish,,1030,sony vaio cs180j/q notebook vgncs180j/q,"sony vaio cs series vgn-cs180j / q 14.1-inch notebook 2.26 ghz intel core 2 duo p8400 processor , 4 gb ram , 320 gb hard drive , blu-ray drive , vista home premium - black",1239.97,train-932-1030,yes
712,lg 30 ' black freestanding gas range lrg30357bk,lg 30 ' black freestanding gas range lrg30357bk 5.0 cu . ft. capacity oven superboil burner 5 burner system smoothtouch controls warming drawer electronic ignition system one piece recessed cooktop self-cleaning oven white finish,,787,lg 5.0 cu.ft . freestanding gas range,,,train-712-787,yes
904,olympus stylus 1050 sw black digital camera stylus1050swb,olympus stylus 1050 sw black digital camera stylus1050swb 10.1 megapixel shockproof waterproof up to 10 ft. freezeproof 3x optical zoom 2.7 ' lcd display 41.6 mb internal memory tap control feature face detection 27 shooting modes continuous shooting high iso sensitivity in-camera panorama movie mode black finish,,932,"olympus stylus 1050 sw 10 megapixel digital camera w / 3x optical zoom , 2.7 ' lcd , waterproof , shockproof & freezeproof , tap control , & face detection black 226455",,228.95,train-904-932,yes
533,panasonic 5.8 ghz black expandable digital cordless phone kxtg4321b,panasonic 5.8 ghz black expandable digital cordless phone kxtg4321b multi-handset capability digital answering machine system ringer id call waiting caller id voicemail hold mute clock alarm led lighting speakerphone intercom 11 days standby 5 hours talk time black finish,,1012,panasonic lumix dmc-fz28 digital camera black,"panasonic dmc-fz28k lumix 10 megapixel digital camera with 27mm leica dc vario-elmarit lens , 18x optical zoom and intelligent auto mode black",,train-533-1012,no
1074,garmin nuvi 885t gps navigation system 0100057730,"garmin nuvi 885t gps navigation system 0100057730 speak commands 4.3 ' display turn-by-turn directions bluetooth wireless technology built-in microphone and speaker mp3 player picture viewer fm transmitter touchscreen up to 4 hours battery life microsd card slot world travel clock , currency/unit converter and calculator grey finish",799.0,622,garmin nvi 205 automobile navigator 010-00717-40,garmin nuvi 205 automobile navigator 3.5 ' active matrix tft color lcd,,train-1074-622,no
899,garmin nuvi 755t gps navigation system 0100071530,garmin nuvi 755t gps navigation system 0100071530 4.3 ' widescreen display up to 5 hours sleek & slim design lane assist 3-d building view preloaded street maps for north america photo navigation speaks street names fm transmitter mp3 player route planning where am i ? emergency locator garmin locate garmin lock grey finish,,947,garmin auto nav 010-00715-20,,410.95,train-899-947,no
592,samsung 61 ' black dlp projection hdtv hl61a650,"samsung 61 ' black series 6 dlp hdtv hl61a650 1920 x 1080p resolution 2,500:1 contrast ratio cinema smooth light engine 3d movie viewing and gaming dnie technology 3 hdmi inputs wiselink usb connection trusurround xt ntsc/atsc/clear qam tuner black finish",,691,samsung 6 series hl61a650 61 ' projection tv,samsung hl61a650 61 ' widescreen 1080p dlp hdtv w / built in ntsc/atsc tuner piano black,1076.94,train-592-691,yes
579,samsung 19 ' black flat panel series 4 lcd hdtv ln19a450,"samsung 19 ' black flat panel series 4 lcd hdtv ln19a450 3,000:1 dynamic contrast ratio 1440 x 900 true 720p resolution 8ms response time cold cathode fluorescent lamp ( ccfl ) hidden bottom speakers srs trusurround xt built-in atsc/clear qam tuner v-chip system black finish",,693,samsung ln19a450 19 ' lcd tv,samsung ln19a450 19 ' widescreen 720p lcd hdtv 3000:1 dynamic contrast ratio 8ms response time piano black,348.0,train-579-693,yes
