id_left,name_left,description_left,price_left,name_right,description_right,price_right,text_src,id_right,text_tgt,candidates,labels
2,sony switcher sbv40s,sony switcher sbv40s eliminates disconnecting and reconnecting cables compact design 4 a/v inputs with s-video jacks 1 a/v output with s-video ( y/c ) jack 2 audio output,49.0,['sony sb-v40s a/v selector sbv40s'],"['vcr , camcorder , av receiver , video game console , tv , laser disc player , dvd player compatible 4 x s-video in , 4 x composite video in , 4 x stereo audio line in , 1 x s-video out , 1 x composite video out , 1 x stereo a']",[nan],sony switcher sbv40s. sony switcher sbv40s eliminates disconnecting and reconnecting cables compact design 4 a/v inputs with s-video jacks 1 a/v output with s-video ( y/c ) jack 2 audio output. 49.0,[33],"['sony sb-v40s a/v selector sbv40s. vcr , camcorder , av receiver , video game console , tv , laser disc player , dvd player compatible 4 x s-video in , 4 x composite video in , 4 x stereo audio line in , 1 x s-video out , 1 x composite video out , 1 x stereo a. nan']","['sony sb-v40s a/v selector sbv40s. vcr , camcorder , av receiver , video game console , tv , laser disc player , dvd player compatible 4 x s-video in , 4 x composite video in , 4 x stereo audio line in , 1 x s-video out , 1 x composite video out , 1 x stereo a. nan', 'sony high definition hdmi to mini-hdmi cable vmc15mhd. 1 x hdmi 1 x mini-hdmi 4.92 ft. 26.95', 'sony slvd380p dvd/vcr combo. vhs , dvd-r , cd-r dvd video , mp3 playback progressive scan. nan', 'sony remote control rmv310. tv , vcr , dvd player , cable box , satellite receiver , amplifier , cd player , dvr 23 ft universal remote. 14.72', 'sony rdrvxd655 dvd/vcr combo. s-vhs , vhs , dvd + rw , dvd-rw , dvd + r , dvd-r , dvd-ram , cd-rw dvd video , video cd , svcd , cd-da , jpeg , mp3 , sqpb playback 1 disc ( s ) progressive scan 14.46 hour recording. 261.96', 'sony dvpcx995v dvd player. dvd + rw , dvd-rw , cd-rw dvd video , video cd , svcd , sacd , mp3 , jpeg playback 400 disc ( s ) progressive scan black. 249.99', 'sony cdp-cx455 cd player/changer cdpcx455. cd-r , cd-rw , cd-rom mp3 , cd-text playback 400 disc ( s ) 32 programmable track ( s ). 219.99', ""sony handycam dcr-sr45 digital camcorder dcrsr45. 16:9 2.7 ' hybrid lcd. 304.99"", 'sony rdr-vx560 dvd/vcr combo. dvd-r , cd-r , vhs dvd video playback 1 disc ( s ) black. 176.08', 'sony learning remote control rmvl600. tv , dvd player , vcr , cd player , satellite receiver , dvr 32.81 ft universal remote. 19.99']","[1, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
3,sony 5 disc cd player cdpce375,sony 5 disc cd player - cdpce375 5 disc changer variable line output cd-r/rw playback capability 20 track music calendar digital servo control remote commander remote control,,['sony cdp-ce375 cd player/changer cdpce375'],"['cd-rom , cd-r , cd-rw 5 disc ( s ) 32 programmable track ( s )']",[114.18],sony 5 disc cd player cdpce375. sony 5 disc cd player - cdpce375 5 disc changer variable line output cd-r/rw playback capability 20 track music calendar digital servo control remote commander remote control. nan,[195],"['sony cdp-ce375 cd player/changer cdpce375. cd-rom , cd-r , cd-rw 5 disc ( s ) 32 programmable track ( s ). 114.18']","['sony cdp-ce375 cd player/changer cdpce375. cd-rom , cd-r , cd-rw 5 disc ( s ) 32 programmable track ( s ). 114.18', 'sony scd-ce595 cd player scdce595. cd-rom , cd-r , cd-rw cd-text playback 5 disc ( s ). nan', 'sony cdp-cx455 cd player/changer cdpcx455. cd-r , cd-rw , cd-rom mp3 , cd-text playback 400 disc ( s ) 32 programmable track ( s ). 219.99', 'sony compact disc player/recorder rcdw500c. cd-r , cd-rw , cd-rom cd-text , mp3 playback 5 disc ( s ) 24 programmable track ( s ). 219.76', 'sony cdp-cx355 300 disc megastorage cd changer. nan. 169.13', 'sony cdx-565mxrf 10-disc cd/mp3 changer. nan. 134.12', 'sony dvpns57p dvd player dvpns57ps. dvd-r , dvd + r , dvd + rw , dvd-rw , cd-rw dvd video , svcd , video cd , jpeg , mp3 playback 1 disc ( s ) progressive scan silver. 45.32', 'denon dcm-390 5 disc cd changer dcm390. nan. 348.0', 'sony dvpns57p dvd player dvpns57pb. dvd + rw , dvd-rw , dvd + r , dvd-r , cd-rw dvd video , svcd , video cd , jpeg , mp3 playback 1 disc ( s ) progressive scan black. 39.0', 'sony dvpcx995v dvd player. dvd + rw , dvd-rw , cd-rw dvd video , video cd , svcd , sacd , mp3 , jpeg playback 400 disc ( s ) progressive scan black. 249.99']","[1, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
5,denon stereo tuner tu1500rd,denon stereo tuner tu1500rd rds radio data system am-fm 40 station random memory rotary tuning knob dot matrix fl display optional remote,375.0,['denon tu-1500rd stereo radio tuner tu1500rd'],['40'],[nan],denon stereo tuner tu1500rd. denon stereo tuner tu1500rd rds radio data system am-fm 40 station random memory rotary tuning knob dot matrix fl display optional remote. 375.0,[191],['denon tu-1500rd stereo radio tuner tu1500rd. 40. nan'],"['denon tu-1500rd stereo radio tuner tu1500rd. 40. nan', 'sony xt-100hd hd radio tuner. nan. 38.0', 'denon dvd-1800bd blu-ray disc player. bd-r , dvd-r , cd-r , secure digital ( sd ) bd video , dvd video , wma , mp3 , divx 6 , jpg playback progressive scan. 499.0', 'onkyo tx-8255 a/v receiver. am , fm. 159.98', 'boston acoustics horizon duo-i am/fm stereo radio hduoimdnt. 5 x am , 10 x fm. 135.52', 'directed electronics starmate 4 sirius satellite radio receiver st4tk1. xs fm transmitter 5 lines lcd. 104.93', 'denon s32 network ready table-top stereo system deno_s-3289349. nan. 360.99', 'directed electronics sportster 4 sirius satellite radio receiver sp4tk1. xs fm transmitter 6 lines lcd. 169.99', 'polk audio i-sonic es2 entertainment system 2 am/fm and hd table radio am1195-a. nan. 336.71', 'pioneer dehp500ub car audio player. cd-rw cd-text , mp3 , wma , wav , aac 4 200w fm , am. 153.64']","[1, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
6,kitchenaid pasta roller and cutter kpra,kitchenaid pasta roller and cutter kpra one pasta roller two pasta cutters cleaning brush chrome finish,,['kitchenaid pasta roller and cutter kpra'],[nan],[nan],kitchenaid pasta roller and cutter kpra. kitchenaid pasta roller and cutter kpra one pasta roller two pasta cutters cleaning brush chrome finish. nan,[213],['kitchenaid pasta roller and cutter kpra. nan. nan'],"['kitchenaid pasta roller and cutter kpra. nan. nan', 'kitchenaid kpfp850ob food processor. nan. nan', 'kitchenaid 5-speed blender red finish ksb560er. nan. 106.98', 'cuisinart gr-4 griddler four multifunctional cooking options. nan. 129.0', 'cuisinart tob-155 toaster oven broiler. nan. 139.0', 'pld4555rfc professional speedclean 24-in . under counter dishwasher ( 14 place settings , stainless steel , energy star ). nan. 549.0', 'pld4375rfc professional speedclean 24-in . under counter dishwasher ( 14 place settings , stainless steel ). nan. 543.29', 'delonghi 6-pc . replacement filters for deep fryer. nan. nan', 'panasonic sdyd250 automatic bread maker. nan. nan', 'kensington combosaver ultra notebook lock k64516us. combosaver ultra combination notebook lock. nan']","[1, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
8,sony vertical-in-the-ear stereo headphones mdrj10,sony vertical-in-the-ear stereo headphones mdrj10 clip on style 13.5 mm driver unit blue finish,,['sony h.ear stereo earphones mdrj10/blue'],['- blue'],[12.38],sony vertical-in-the-ear stereo headphones mdrj10. sony vertical-in-the-ear stereo headphones mdrj10 clip on style 13.5 mm driver unit blue finish. nan,[37],['sony h.ear stereo earphones mdrj10/blue. - blue. 12.38'],"['sony h.ear stereo earphones mdrj10/blue. - blue. 12.38', 'sony mdrex81lp comfort fit ear hanger headphones - choose color ( black ). nan. nan', 'sony stereo bluetooth headset * nic * tmrbt10/tmrbt10a. nan. 41.99', 'sony mdr-q68lw stereo earphone mdrq68lw. - stereo. 19.05', 'sony fontopia earbuds mdrex81lpb. sony mdr-ex81lp / b stereo earphones black. 34.88', 'sony noise cancelling earphone mdrnc22/blk. - black. nan', 'ex series earbuds black mdr ex55/blk. nan. 22.2', 'ex series earbuds black mdr ex32lp/blk. nan. 15.65', 'ex series earbuds wht mdr ex32lp/whi. nan. 16.99', 'sport neckband earbuds mdr as50g. nan. 32.71']","[1, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
10,panasonic integrated telephone system kxts108w,panasonic integrated telephone system kxts108w 16 digit lcd with clock hands free speakerphone built-in data port 10-station one-touch dialing 3-step ringer volume white finish,44.0,['panasonic kx-ts108w corded phone'],['1 x phone line ( s ) white'],[nan],panasonic integrated telephone system kxts108w. panasonic integrated telephone system kxts108w 16 digit lcd with clock hands free speakerphone built-in data port 10-station one-touch dialing 3-step ringer volume white finish. 44.0,[34],['panasonic kx-ts108w corded phone. 1 x phone line ( s ) white. nan'],"['panasonic kx-ts108w corded phone. 1 x phone line ( s ) white. nan', 'panasonic kx-ts600w basic telephone. 1 x phone line ( s ) 1 x headset , 1 x data white. nan', 'panasonic kx-ts208w corded phone. 2 x phone line ( s ) headset white. nan', 'panasonic kx-tsc14w 2-line telephone. 2 x phone line ( s ) headset white. nan', 'panasonic kx-ts3282w corded telephone. 2 x phone line ( s ) headset white. nan', 'panasonic kx-tg1034s dect 6.0 cordless phone kx-tg1034s. panasonic dect 6.0 series 4 handset cordless phone system with answering system. 89.45', 'panasonic kx-tg1032s dual handset digital cordless phone. 1 x phone line ( s ) headset jack silver. 61.14', 'panasonic kx-tg1033s digital cordless phone with three handsets. 1 x phone line ( s ) headset jack silver. nan', 'panasonic kx-tg9344t expandable digital cordless phone. 1 x phone line ( s ). 116.21', 'panasonic kx-tsc14b corded telephone. 2 x phone line ( s ) headset black. nan']","[1, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
12,sony 300 disc cd changer cdpcx355,sony 300 disc cd changer cdpcx355 megastorage control cd-r/cd-rw playback 32 step program play control a1 ii custom file memo cd text keyboard input 2 jog dials remote control black finish,,['sony cdp-cx355 300 disc megastorage cd changer'],[nan],[169.13],sony 300 disc cd changer cdpcx355. sony 300 disc cd changer cdpcx355 megastorage control cd-r/cd-rw playback 32 step program play control a1 ii custom file memo cd text keyboard input 2 jog dials remote control black finish. nan,[58],['sony cdp-cx355 300 disc megastorage cd changer. nan. 169.13'],"['sony cdp-cx355 300 disc megastorage cd changer. nan. 169.13', 'sony cdp-cx455 cd player/changer cdpcx455. cd-r , cd-rw , cd-rom mp3 , cd-text playback 400 disc ( s ) 32 programmable track ( s ). 219.99', 'sony cdp-ce375 cd player/changer cdpce375. cd-rom , cd-r , cd-rw 5 disc ( s ) 32 programmable track ( s ). 114.18', 'sony cdx-565mxrf 10-disc cd/mp3 changer. nan. 134.12', 'denon dcm-390 5 disc cd changer dcm390. nan. 348.0', 'sony compact disc player/recorder rcdw500c. cd-r , cd-rw , cd-rom cd-text , mp3 playback 5 disc ( s ) 24 programmable track ( s ). 219.76', 'sony scd-ce595 cd player scdce595. cd-rom , cd-r , cd-rw cd-text playback 5 disc ( s ). nan', 'sony dvpcx995v dvd player. dvd + rw , dvd-rw , cd-rw dvd video , video cd , svcd , sacd , mp3 , jpeg playback 400 disc ( s ) progressive scan black. 249.99', 'denon pro 5 cd carousel changer nic dcm290p. nan. nan', 'onkyo 6-disc cd changer w/vlsc , black nic dx-c390. nan. 179.72']","[1, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
13,sony 400 disc megastorage cd changer cdpcx455,sony 400 disc megastorage cd changer cdpcx455 mp3 playback capability cd-r/cd-rw playback twin jog dial for easy disc access megachanger control optical digital output keyboard input remote commander ® remote control,,['sony cdp-cx455 cd player/changer cdpcx455'],"['cd-r , cd-rw , cd-rom mp3 , cd-text playback 400 disc ( s ) 32 programmable track ( s )']",[219.99],sony 400 disc megastorage cd changer cdpcx455. sony 400 disc megastorage cd changer cdpcx455 mp3 playback capability cd-r/cd-rw playback twin jog dial for easy disc access megachanger control optical digital output keyboard input remote commander ® remote control. nan,[197],"['sony cdp-cx455 cd player/changer cdpcx455. cd-r , cd-rw , cd-rom mp3 , cd-text playback 400 disc ( s ) 32 programmable track ( s ). 219.99']","['sony cdp-cx455 cd player/changer cdpcx455. cd-r , cd-rw , cd-rom mp3 , cd-text playback 400 disc ( s ) 32 programmable track ( s ). 219.99', 'sony cdp-cx355 300 disc megastorage cd changer. nan. 169.13', 'sony cdx-565mxrf 10-disc cd/mp3 changer. nan. 134.12', 'sony cdp-ce375 cd player/changer cdpce375. cd-rom , cd-r , cd-rw 5 disc ( s ) 32 programmable track ( s ). 114.18', 'sony compact disc player/recorder rcdw500c. cd-r , cd-rw , cd-rom cd-text , mp3 playback 5 disc ( s ) 24 programmable track ( s ). 219.76', 'sony scd-ce595 cd player scdce595. cd-rom , cd-r , cd-rw cd-text playback 5 disc ( s ). nan', 'sony dvpcx995v dvd player. dvd + rw , dvd-rw , cd-rw dvd video , video cd , svcd , sacd , mp3 , jpeg playback 400 disc ( s ) progressive scan black. 249.99', 'denon dcm-390 5 disc cd changer dcm390. nan. 348.0', 'denon pro 5 cd carousel changer nic dcm290p. nan. nan', 'sony rdrvxd655 dvd/vcr combo. s-vhs , vhs , dvd + rw , dvd-rw , dvd + r , dvd-r , dvd-ram , cd-rw dvd video , video cd , svcd , cd-da , jpeg , mp3 , sqpb playback 1 disc ( s ) progressive scan 14.46 hour recording. 261.96']","[1, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
15,panasonic hands free headset kxtca92,panasonic hands free headset kxtca92 comfort fit with fold design noise cancelling microphone volume control mute standard 2.5 mm connection,25.0,['panasonic kx-tca92 headset'],['over-the-head'],[18.42],panasonic hands free headset kxtca92. panasonic hands free headset kxtca92 comfort fit with fold design noise cancelling microphone volume control mute standard 2.5 mm connection. 25.0,[56],['panasonic kx-tca92 headset. over-the-head. 18.42'],"['panasonic kx-tca92 headset. over-the-head. 18.42', 'panasonic kx-tca86 headset. over-the-head. 11.03', 'panasonic kx-tsc14w 2-line telephone. 2 x phone line ( s ) headset white. nan', 'panasonic kx-tsc14b corded telephone. 2 x phone line ( s ) headset black. nan', 'panasonic kx-tg1032s dual handset digital cordless phone. 1 x phone line ( s ) headset jack silver. 61.14', 'panasonic kx-ts208w corded phone. 2 x phone line ( s ) headset white. nan', 'panasonic kx-ts3282w corded telephone. 2 x phone line ( s ) headset white. nan', 'panasonic kx-ts3282b corded phone. 2 x phone line ( s ) headset black. nan', 'panasonic kx-tga820b cordless handset. black. 39.76', 'panasonic kx-tga101s dect 6.0 expansion handset. nan. 36.04']","[1, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
16,cuisinart convection-oven-toaster-broiler with exact heat sensor tob165wh,cuisinart convection-oven-toaster-broiler with exact heat sensor tob165wh 0.5 cubic foot oven capacity led indicators individual or combination settings always even shade control 4 hour automatic shut off slide-out crumb tray includes broiling pan white finish,149.0,['white .5 cu . ft 1500 watt convection/broiler/toaster oven'],[nan],[149.0],cuisinart convection-oven-toaster-broiler with exact heat sensor tob165wh. cuisinart convection-oven-toaster-broiler with exact heat sensor tob165wh 0.5 cubic foot oven capacity led indicators individual or combination settings always even shade control 4 hour automatic shut off slide-out crumb tray includes broiling pan white finish. 149.0,[223],['white .5 cu . ft 1500 watt convection/broiler/toaster oven. nan. 149.0'],"['cuisinart tob-195 cuisinart exact heat convection toaster oven broiler tob195. nan. 178.99', 'cuisinart tob-155 toaster oven broiler. nan. 139.0', 'white .5 cu . ft 1500 watt convection/broiler/toaster oven. nan. 149.0', 'panasonic nn-h965wf luxury full-size 2-1/5 - cubic-foot 1250-watt microwave oven - white. nan. nan', 'panasonic nn-c994s genius prestige convection microwave oven with inverter turbo defrost and one-touch sensor cooking , stainless. nan. nan', 'panasonic nnsn667w 1.2 cu . ft. countertop microwave oven in white. nan. 107.81', 'panasonic nnsd767s 1.6 cu . ft. stainless steel countertop microwave oven. nan. nan', 'panasonic nnsd797s 1.6 cu . ft. genius prestige inverter stainless steel microwave oven. nan. nan', 'panasonic 2.2 cu . ft. stainless steel luxury full size countertop microwave oven nnsd967ss. nan. nan', 'panasonic nnsd667s 1.2 cu . ft. countertop microwave oven in stainless steel. nan. nan']","[0, 0, 1, 0, 0, 0, 0, 0, 0, 0]"
