id_left,name_left,description_left,price_left,id_right,name_right,description_right,price_right,guid,label
2,sony switcher sbv40s,sony switcher sbv40s eliminates disconnecting and reconnecting cables compact design 4 a/v inputs with s-video jacks 1 a/v output with s-video ( y/c ) jack 2 audio output,49.0,33,sony sb-v40s a/v selector sbv40s,"vcr , camcorder , av receiver , video game console , tv , laser disc player , dvd player compatible 4 x s-video in , 4 x composite video in , 4 x stereo audio line in , 1 x s-video out , 1 x composite video out , 1 x stereo a",,train-2-33,1
2,sony switcher sbv40s,sony switcher sbv40s eliminates disconnecting and reconnecting cables compact design 4 a/v inputs with s-video jacks 1 a/v output with s-video ( y/c ) jack 2 audio output,49.0,441,sony high definition hdmi to mini-hdmi cable vmc15mhd,1 x hdmi 1 x mini-hdmi 4.92 ft,26.95,train-2-441,0
2,sony switcher sbv40s,sony switcher sbv40s eliminates disconnecting and reconnecting cables compact design 4 a/v inputs with s-video jacks 1 a/v output with s-video ( y/c ) jack 2 audio output,49.0,350,sony slvd380p dvd/vcr combo,"vhs , dvd-r , cd-r dvd video , mp3 playback progressive scan",,train-2-350,0
2,sony switcher sbv40s,sony switcher sbv40s eliminates disconnecting and reconnecting cables compact design 4 a/v inputs with s-video jacks 1 a/v output with s-video ( y/c ) jack 2 audio output,49.0,205,sony remote control rmv310,"tv , vcr , dvd player , cable box , satellite receiver , amplifier , cd player , dvr 23 ft universal remote",14.72,train-2-205,0
2,sony switcher sbv40s,sony switcher sbv40s eliminates disconnecting and reconnecting cables compact design 4 a/v inputs with s-video jacks 1 a/v output with s-video ( y/c ) jack 2 audio output,49.0,564,sony rdrvxd655 dvd/vcr combo,"s-vhs , vhs , dvd + rw , dvd-rw , dvd + r , dvd-r , dvd-ram , cd-rw dvd video , video cd , svcd , cd-da , jpeg , mp3 , sqpb playback 1 disc ( s ) progressive scan 14.46 hour recording",261.96,train-2-564,0
2,sony switcher sbv40s,sony switcher sbv40s eliminates disconnecting and reconnecting cables compact design 4 a/v inputs with s-video jacks 1 a/v output with s-video ( y/c ) jack 2 audio output,49.0,210,sony dvpcx995v dvd player,"dvd + rw , dvd-rw , cd-rw dvd video , video cd , svcd , sacd , mp3 , jpeg playback 400 disc ( s ) progressive scan black",249.99,train-2-210,0
2,sony switcher sbv40s,sony switcher sbv40s eliminates disconnecting and reconnecting cables compact design 4 a/v inputs with s-video jacks 1 a/v output with s-video ( y/c ) jack 2 audio output,49.0,197,sony cdp-cx455 cd player/changer cdpcx455,"cd-r , cd-rw , cd-rom mp3 , cd-text playback 400 disc ( s ) 32 programmable track ( s )",219.99,train-2-197,0
2,sony switcher sbv40s,sony switcher sbv40s eliminates disconnecting and reconnecting cables compact design 4 a/v inputs with s-video jacks 1 a/v output with s-video ( y/c ) jack 2 audio output,49.0,577,sony handycam dcr-sr45 digital camcorder dcrsr45,16:9 2.7 ' hybrid lcd,304.99,train-2-577,0
2,sony switcher sbv40s,sony switcher sbv40s eliminates disconnecting and reconnecting cables compact design 4 a/v inputs with s-video jacks 1 a/v output with s-video ( y/c ) jack 2 audio output,49.0,832,sony rdr-vx560 dvd/vcr combo,"dvd-r , cd-r , vhs dvd video playback 1 disc ( s ) black",176.08,train-2-832,0
2,sony switcher sbv40s,sony switcher sbv40s eliminates disconnecting and reconnecting cables compact design 4 a/v inputs with s-video jacks 1 a/v output with s-video ( y/c ) jack 2 audio output,49.0,145,sony learning remote control rmvl600,"tv , dvd player , vcr , cd player , satellite receiver , dvr 32.81 ft universal remote",19.99,train-2-145,0
